# SCOPE ASSUMPTIONS
#WIDTH: 25,35,30,25,25,30,40
#ALIGN: left,left,left,left,left,left,left
Category,Baseline Assumption,Current Scope,Small (1x),Medium (2x),Large (3x),Notes
Users / Consultants,Single business unit,~120 consultants across US and Canada,Up to 50 users,51–200 users,200+ users,Amatra team is ~120 consultants; all will use the CLI and API
Regions / Geographies,Single AWS region,us-west-2 (primary),1 region,2 regions,3+ regions,New footprint isolated in us-west-2; existing workloads remain in us-east-1
Agents / Microservices,3–4 Lambda functions,5 agents + 14 CLI subcommands + 11 API Lambda routes,3–5 functions,6–15 functions,16+ functions,"Five Strands agents: Input Validator, Pre-Sales Generator, Delivery Generator, Code Generator, EO Validator"
Artifact Types,4–6 artifact types,12 artifacts per solution (5 presales + 6 delivery + 1 automation),Up to 6 artifacts,7–12 artifacts,13+ artifacts,EO Framework defines 12 artifacts; each has format-check + LLM quality validation with up to 3 retries
Integrations / External Systems,1–2 integrations,4 integrations (Bedrock AgentCore + Cognito + GitHub + DynamoDB quota),1–2 integrations,3–5 integrations,6+ integrations,"GitHub PAT push, Cognito JWT auth, DynamoDB atomic quotas, Bedrock model calls"
Environments,Dev + Prod,Dev / Staging / Prod (3 environments),Dev + Prod,Dev + Staging + Prod,Dev + Staging + Prod + DR,Blast-radius isolation between POC (us-west-2) and existing managed-services (us-east-1)
Compliance / Security,Standard AWS security baseline,CTO sign-off required; JWT auth; per-user + global quotas; audit trail,Basic IAM,IAM + Cognito + audit logging,IAM + Cognito + SIEM + compliance reporting,CTO approval gate for Cognito user pool and production deployment
SLA / Availability Target,Business-hours availability,POC target; production path to 99.9% uptime,Best effort,99.5% uptime,99.9%+ with DR,12-week POC hard deadline (end of April 2026); Bedrock + AgentCore SLAs inherited

# ESTIMATE SETTINGS
#WIDTH: 25,30,15,80
#ALIGN: left,left,center,left
Phase,Variable Name,Multiplier,Description / Applies To Tasks
Discovery,discovery_factor,1.0,Baseline stakeholder interviews; current-state review of legacy CLI workflow and eof-tools library
Planning,planning_factor,1.2,Elevated for multi-agent graph design; AWS Landing Zone and IAM architecture complexity
Development,development_factor,1.3,"Core build phase; AgentCore Runtime + Strands framework integration, Docker image pipeline, 12-artifact converters"
Testing,testing_factor,1.1,End-to-end artifact validation across all 12 artifact types; CloudWatch metrics baseline; multi-agent retry logic
Deployment,deployment_factor,1.0,Production deployment; knowledge transfer to Amatra team; runbook delivery
Management,management_factor,1.0,Project management and technical leadership overhead (10% of engineering tasks)

# LEVEL OF EFFORT
#WIDTH: 15,25,50,15,12,14,12,12,15,25,40
#ALIGN: left,left,left,left,right,center,right,right,right,left,left
Phase,Work Package,Task Description,Resource Type,Base Hours,Effort Multiplier,Actual Hours,Rate,Cost Estimate,Dependencies,Notes
Discovery,Project Kickoff,Kickoff meeting with Sarah Lin / Marcus Patel / Daniel Park; align on scope and success criteria,Project Manager,8,1.0,8,$175,"$1,400",,Week 1
Discovery,Current-State Assessment,Document legacy CLI workflow; map eof-tools converter library (~30 modules) and 12 artifact types,Solution Architect,24,1.0,24,$225,"$5,400",Project Kickoff,Produces as-is architecture baseline
Discovery,Requirements Gathering,"Gather requirements for 14 CLI subcommands, 11 API routes, 5-agent graph, quota model, and GitHub push",Solution Architect,32,1.0,32,$225,"$7,200",Current-State Assessment,Interviews with Marcus Patel and Daniel Park
Discovery,AWS Cloud Readiness Assessment,"Review existing AWS account; define us-west-2 landing zone, blast-radius controls, and account strategy",Cloud Engineer,16,1.0,16,$200,"$3,200",Requirements Gathering,Ensures new footprint isolation
Discovery,Data & Quota Model Design,Design DynamoDB schema for per-user (10/month) and global (1000/month) atomic quota enforcement,Solution Architect,16,1.0,16,$225,"$3,600",Requirements Gathering,Drives DynamoDB partition key strategy
Discovery,Gap Analysis,Identify gaps between current manual process and target agentic engine; document risk register,Solution Architect,16,1.0,16,$225,"$3,600",Current-State Assessment,
Discovery,Assessment Report,Document findings; produce architecture decision record (ADR) and phase-1 scope baseline,Technical Writer,16,1.0,16,$125,"$2,000",Gap Analysis,Delivered to Marcus Patel for CTO review
Planning,AWS Landing Zone Setup,"Design VPC, IAM roles, S3 bucket policies, and CloudTrail in us-west-2 for POC footprint",Cloud Engineer,40,1.2,48,$200,"$9,600",Assessment Report,Phase 1 (Weeks 1–4) foundation
Planning,API Gateway & Lambda Architecture,"Design HTTP API v2 structure: 11 routes, JWT authoriser, Lambda integration patterns, throttling",Solution Architect,32,1.2,38,$225,"$8,550",AWS Landing Zone Setup,
Planning,Cognito User Pool Design,"Design user pool, app client, post-confirmation trigger Lambda, 30-day refresh token policy",Solution Architect,24,1.2,29,$225,"$6,525",API Gateway & Lambda Architecture,CTO sign-off required before provisioning
Planning,DynamoDB Schema Design,"Design tables for user profiles, solution records, quota counters, and audit events",Solution Architect,24,1.2,29,$225,"$6,525",Data & Quota Model Design,
Planning,Strands Multi-Agent Graph Design,"Design 5-agent orchestration graph: Input Validator, Pre-Sales Generator, Delivery Generator, Code Generator, EO Validator",Solution Architect,48,1.2,58,$225,"$13,050",Requirements Gathering,Phase 2 (Weeks 5–9) core design
Planning,Bedrock AgentCore Runtime Design,"Design AgentCore Runtime hosting config for serverless agents; Claude Sonnet 4.6 primary + Haiku 4.5 validator",ML/AI Engineer,32,1.2,38,$275,"$10,450",Strands Multi-Agent Graph Design,ML/AI rate adjusted for specialised Bedrock expertise
