Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the primary business pain points driving the Intelligent Solution Builder initiative?","Describe top 3-5 issues with the current manual artifact process (e.g. inconsistency, speed, capacity constraints)","","Understanding business drivers helps align the technical solution with business outcomes and prioritise features"
BUS-002,Business Requirements,Success Criteria,"What does success look like at the end of Phase 1 (Pre-Sales MVP)?","Reference measurable targets such as artifact turnaround time (target <2 business days) and first-pass QA pass rate (target ≥90%)","","Critical for defining scope and measuring whether the MVP meets stakeholder expectations"
BUS-003,Business Requirements,Success Criteria,"What are the success criteria for the overall platform at General Availability?","Include throughput targets (e.g. ~24 active engagements per quarter) and consulting-hour reduction (target 40%)","","Shapes the backlog prioritisation and go/no-go criteria for each phase"
BUS-004,Business Requirements,Timeline,"Are the phase deadlines — Phase 1 by 2026-09-30, Phase 2 by 2026-12-15, GA in Q1 2027 — fixed or flexible?","Identify which milestones are hard constraints vs aspirational targets","","Directly impacts sprint planning, team size, and risk decisions"
BUS-005,Business Requirements,Timeline,"What is the significance of the 2027-01-31 flagship client renewal deadline?","Clarify the dependency: does the platform need to be live and generating deliverables before that date, or just available?","","This is a hard external deadline; late delivery may have contractual or revenue implications"
BUS-006,Business Requirements,Budget,"Is the $300k–$450k budget allocated across all three phases, or specific to Phase 1?","Clarify CapEx vs OpEx split and whether the ~$4k–$6k/month run cost is included in Year 1 budget","","Right-sizes each phase's scope and informs build vs buy decisions"
BUS-007,Business Requirements,Budget,"Who has budget approval authority, and what is the approval process for scope changes?","Identify the CTO as executive sponsor; clarify thresholds and timelines for change orders","","Prevents delays caused by unplanned procurement or approval cycles"
BUS-008,Business Requirements,Stakeholders,"Which stakeholder groups will formally sign off on each phase deliverable?","Map sign-off: CTO (Phase gates), VP Engineering (technical acceptance), Head of Solutions (artifact quality), Security Lead (compliance)","","Defines the governance model and prevents scope-creep or rework late in each phase"
BUS-009,Business Requirements,Stakeholders,"How many pre-sales consultants will be primary day-to-day users of the platform?","Provide current headcount and expected growth over 12 months","","Informs Cognito user pool sizing, usage-quota design, and UI/UX requirements"
BUS-010,Business Requirements,Business Drivers,"How do downstream consumers (Delivery Consulting and Sales teams) currently receive generated artifacts?","Describe current handoff: email, shared drive, portal, etc.","","Determines whether the platform needs a delivery/notification mechanism beyond S3 storage"
TECH-001,Technical Requirements,Current Infrastructure,"Describe the legacy monolith currently running on a single EC2 instance that is to be retired.","Include programming language, OS, any APIs it exposes, data it holds, and estimated retirement timeline","","Identifies decommission dependencies and potential data-migration or integration tasks"
TECH-002,Technical Requirements,Current Infrastructure,"What Google Workspace integrations exist today that may need to connect to or be replaced by the new platform?","Cover Docs, Sheets, Slides, Drive — identify if any are used as artifact templates or collaboration surfaces","","Determines whether template conversion (Word/Excel/PowerPoint) requires Google export pipelines"
TECH-003,Technical Requirements,Cloud Platform,"Does Amatra already have an AWS Organisation, Control Tower landing zone, or existing AWS accounts in us-west-2?","Provide account structure, VPC topology, and any shared services (logging, security hub, etc.)","","Determines greenfield build scope vs landing-zone integration effort"
TECH-004,Technical Requirements,Cloud Platform,"Are there any existing AWS programme agreements (MAP credits, EDP, APN) that should be leveraged for this project?","Include credit amounts, expiry dates, and eligible services","","Can materially reduce infrastructure costs and inform service selection"
TECH-005,Technical Requirements,AI & ML,"Which Amazon Bedrock Claude model versions are preferred for artifact generation (e.g. Claude 3 Haiku, Sonnet, Opus)?","Consider cost vs quality trade-offs for different artifact types (discovery questionnaires vs detailed designs)","","Model selection drives per-token costs and latency; may differ by artifact type"
TECH-006,Technical Requirements,AI & ML,"What is the expected average prompt + completion token count per artifact generation job?","Estimate tokens per job and expected job volume per day/month","","Critical input for Bedrock cost modelling and Lambda timeout/memory sizing"
TECH-007,Technical Requirements,AI & ML,"Are there requirements to fine-tune or customise Bedrock models using Amatra's proprietary templates or past engagement data?","Specify if custom model customisation (continued pre-training or fine-tuning) is in scope","","Custom model training has significant additional cost and timeline implications"
TECH-008,Technical Requirements,Compute & Async Jobs,"How should long-running generation jobs (30–60 min) be orchestrated — Lambda with Step Functions, ECS Fargate, or another approach?","Clarify whether Lambda's 15-min maximum execution limit has been accounted for; Step Functions may be required","","Lambda alone cannot run 30–60 min jobs; orchestration architecture must be confirmed early"
TECH-009,Technical Requirements,Compute & Async Jobs,"What is the expected peak concurrency of simultaneous artifact generation jobs?","Estimate maximum parallel jobs during peak usage periods (e.g. end-of-quarter proposal rush)","","Determines Lambda concurrency limits, DynamoDB capacity mode, and Bedrock throughput quotas"
TECH-010,Technical Requirements,API & Integration,"What REST API authentication mechanism will API Gateway use beyond Cognito JWT validation?","Clarify whether API keys, IAM SigV4, Lambda authorisers, or WAF integration are required","","Drives API Gateway configuration and security posture"
TECH-011,Technical Requirements,API & Integration,"Which systems or tools will consume the platform API (e.g. internal portal, Salesforce CRM, Slack bot)?","List all integration points and their data exchange patterns (sync vs async, webhooks, polling)","","Identifies integration complexity and potential need for event-driven notification (SNS/SQS/EventBridge)"
TECH-012,Technical Requirements,Data & Storage,"What artifact types must the platform generate in Phase 1, and what are their output formats?","e.g. discovery questionnaire (CSV/XLSX), solution briefing (PPTX), statement of work (DOCX), infrastructure costs (XLSX)","","Determines the document-generation pipeline and S3 object structure"
TECH-013,Technical Requirements,Data & Storage,"How many client engagements are expected per month, and how long must artifacts be retained in S3?","Include active retention and archive requirements (e.g. 7-year retention for audit purposes)","","Drives S3 storage tier selection (Standard vs Intelligent-Tiering vs Glacier) and cost projection"
TECH-014,Technical Requirements,Data & Storage,"What is the expected size of input briefs and generated artifacts per engagement?","Estimate average bytes/KB per input and per output artifact","","Informs S3 PUT/GET cost estimates and DynamoDB item size planning"
TECH-015,Technical Requirements,Identity & Access,"How many Cognito user groups are required beyond 'admins'?","e.g. pre-sales-consultants, read-only reviewers, delivery team — describe permissions per group","","Determines Cognito user pool and identity pool configuration complexity"
TECH-016,Technical Requirements,Identity & Access,"What is the plan to migrate existing Okta user identities to Amazon Cognito?","Clarify number of users, attributes to migrate, and whether Okta remains as a SAML/OIDC IdP federated into Cognito","","Identity migration is a hard dependency for user acceptance testing; may require phased cut-over"
TECH-017,Technical Requirements,Performance,"What are the acceptable response-time SLAs for synchronous API calls vs asynchronous job status polling?","e.g. API response <500ms, job completion notification within 5 min of finishing","","Drives API Gateway timeout settings, Lambda memory, and DynamoDB read/write capacity"
TECH-018,Technical Requirements,Performance,"What is the target platform availability SLA (stated as 99.9%), and how is that measured?","Clarify measurement window (monthly), exclusions, and whether planned maintenance counts as downtime","","99.9% equates to ~43.8 min/month downtime; drives multi-AZ and failover architecture decisions"
TECH-019,Technical Requirements,Templates & Artifacts,"What existing Word, Excel, and PowerPoint artifact templates must be ingested into the automated pipeline?","Provide a full inventory with version history and owner team for each template","","Template ingestion is a Phase 1 dependency; complexity affects effort and timeline estimates"
TECH-020,Technical Requirements,Usage Governance,"How are per-user and global monthly usage limits defined (e.g. max jobs per user per month, max tokens per month)?","Specify enforcement mechanism: hard block vs soft warning, and the admin interface for adjusting limits","","Usage controls affect DynamoDB schema design and Lambda authoriser logic"
SEC-001,Security & Compliance,Compliance Frameworks,"Confirm that SOC 2 Type II is required. Are there additional frameworks — GDPR, ISO 27001, or others — that apply?","List all applicable compliance frameworks and any certifications Amatra must hold or inherit from AWS","","Each framework adds specific controls; SOC 2 + GDPR together affect logging, data retention, and DPA agreements"
SEC-002,Security & Compliance,Data Classification,"What data classification levels apply to client brief inputs and generated artifacts?","e.g. Confidential/Internal — do any artifacts contain PII, financial data, or trade secrets?","","Determines encryption tier, S3 bucket policies, and DLP requirements"
SEC-003,Security & Compliance,Data Residency,"Confirm that all customer data must remain in the United States (us-west-2). Is a second US region required for DR?","Identify if us-east-1 or another US region is acceptable for disaster recovery replication","","Data-residency constraint rules out non-US Bedrock regions and affects DR architecture"
SEC-004,Security & Compliance,Authentication,"Will Amazon Cognito be the sole IdP, or will Okta remain federated via SAML/OIDC post-migration?","Describe target state identity architecture and any phased federation approach during migration","","Dual-IdP configurations add complexity and must be designed carefully to avoid token-trust issues"
SEC-005,Security & Compliance,Authentication,"Is Multi-Factor Authentication (MFA) mandatory for all users, or only for the admins group?","Specify MFA methods: TOTP, SMS, push notification","","MFA enforcement is a SOC 2 control requirement; configuration must be set at Cognito user pool level"
SEC-006,Security & Compliance,Encryption,"What key management approach is required for S3 and DynamoDB encryption at rest?","AWS-managed keys (SSE-S3/SSE-KMS with AWS-managed CMK) vs customer-managed CMK in AWS KMS","","Customer-managed CMKs add operational overhead (key rotation, policies) but are often required for SOC 2 evidence"
SEC-007,Security & Compliance,Encryption,"Is TLS 1.2 minimum sufficient for data in transit, or is TLS 1.3 required?","Applies to API Gateway, Bedrock, and all internal service-to-service calls","","TLS version requirements may be dictated by client contracts or SOC 2 auditors"
