#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
solution.name,Project,anp-recommendation-engine,anp-recommendation-engine,anp-recommendation-engine,Solution identifier used for resource naming and cost-allocation tagging,Yes,String,lowercase alphanumeric hyphens max 50 chars,Public,Cloud CoE,,Matches CDK stack name prefix; change requires full re-deploy,2026-03-19
solution.region.primary,Project,us-east-1,us-east-1,us-east-1,Primary AWS region for all solution resources,Yes,String,Valid AWS region code,Public,Cloud CoE,,Single region per SOW constraint; us-east-1 mandated,2026-03-19
solution.environment,Project,prod,dev,prod,Deployment environment identifier used in all resource names,Yes,String,"prod|dev|staging",Public,Cloud CoE,,DR env mirrors prod; staging used for UAT,2026-03-19
solution.opportunity_no,Project,OPP-2026-001,OPP-2026-001,OPP-2026-001,Opportunity number for CostCenter tag on all AWS resources,Yes,String,OPP-YYYY-NNN format,Public,Cloud CoE,,Applied as CostCenter tag; required for APFP reconciliation,2026-03-19
aws.account_id,Project,[aws-account-id],[aws-account-id],[aws-account-id],Dedicated ANP Streaming AWS account identifier,Yes,String,12-digit numeric,Confidential,Cloud CoE,,Customer provisions dedicated account per SOW assumption 1,2026-03-19
aws.cdk_toolkit_stack_name,Project,CDKToolkit,CDKToolkit,CDKToolkit,CDK bootstrap stack name in the target AWS account,Yes,String,Non-empty string,Public,Cloud CoE,aws.account_id,Must be bootstrapped before first CDK deploy,2026-03-19
application.name,Application,anp-streaming-ai,anp-streaming-ai,anp-streaming-ai,Application identifier for structured logs and CloudWatch dashboards,Yes,String,Alphanumeric and hyphens max 50 chars,Public,Development,solution.name,,2026-03-19
application.version,Application,1.0.0,1.0.0,1.0.0,Semantic version of the deployed application,Yes,String,X.Y.Z semver,Public,Development,,,2026-03-19
application.log_level,Application,info,debug,info,Logging verbosity for all Lambda functions,Yes,String,"debug|info|warn|error",Public,Operations,,Production uses info; debug enabled in dev only,2026-03-19
application.api_version,Application,v1,v1,v1,API path version prefix used in all REST endpoint URLs,Yes,String,v[0-9]+,Public,Development,,URL prefix /api/v1/; increment on breaking changes,2026-03-19
application.api_rate_limit_rps,Application,100,50,100,API Gateway usage-plan requests per second per API key,Yes,Integer,1-10000,Public,Development,compute.apigw.stage_name,Sized for 100 MAU; increase at 10K MAU tier per cost model,2026-03-19
application.playlist_count_default,Application,20,20,20,Default track count returned by the playlist generation endpoint,Yes,Integer,5-100,Public,Development,,Matches /api/v1/playlists count parameter default in API contract,2026-03-19
application.cold_start_threshold,Application,10,5,10,Minimum interaction events before Personalize replaces mood-only cold-start fallback,Yes,Integer,1-100,Public,Development,integration.personalize.campaign_arn,Below threshold mood-to-content matcher used exclusively,2026-03-19
compute.lambda.playlist.memory_mb,Compute,1024,1024,1024,Memory for the Playlist Generation Lambda function,Yes,Integer,128-10240,Public,Development,,1024 MB per detailed-design compute sizing table,2026-03-19
