Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the primary business pain points with the current manual EO Framework generation process?","Describe top 3-5 pain points — e.g. senior-consultant time per engagement, iteration cycles, lack of audit trail, inability to run parallel pipelines","","Understanding root pain points ensures the solution addresses the most critical gaps first"
BUS-002,Business Requirements,Business Drivers,"How many presales engagements does Amatra run per month today, and what is the target volume once the platform is live?","Provide current monthly throughput and 12-month projected target; note that the platform is sized for a global cap of 1 000 solutions/month","","Drives quota design, DynamoDB throughput provisioning, and Bedrock token budget"
BUS-003,Business Requirements,Success Criteria,"What measurable outcomes define success for this platform at the end of the 12-week engagement?","Examples: end-to-end generation under 1 hour, 90% reduction in senior-consultant effort, zero manual retries, green CloudWatch baseline","","Defines acceptance criteria for Phase 3 sign-off and executive demonstration"
BUS-004,Business Requirements,Success Criteria,"What are the minimum demonstrable capabilities required for the Q2 2026 executive sponsor demo?","The brief names four core capabilities: CLI auth, presales generation, delivery generation, automation bundle with Terraform — confirm priorities and add any others","","Scope guard; any capability not listed here can be deferred to a phase-two engagement"
BUS-005,Business Requirements,Stakeholders,"Who are the approvers for production deployment and the Cognito user pool configuration?","CTO sign-off has been identified; confirm full approval chain and expected lead times","","Prevents deployment blockers late in the engagement; identify sign-off dependencies early"
BUS-006,Business Requirements,Stakeholders,"Which internal teams (Sales, Pre-Sales Engineering, Delivery Operations) will consume the platform's output, and what are their distinct needs?","Sarah Lin (CRO), Marcus Patel (Pre-Sales Engineering), Daniel Park (Delivery Operations) are named — confirm each team's use cases and access requirements","","Shapes role-based access design and per-phase artifact delivery policy"
BUS-007,Business Requirements,Budget,"Confirm the total approved budget envelope and the split between professional services and first-year run cost.","Brief states $350k-$500k total ($250k PS + $100k-$200k infrastructure/run); confirm whether this is approved or indicative","","Prevents mid-engagement scope creep; confirms procurement involvement threshold"
BUS-008,Business Requirements,Budget,"Is there an existing AWS spend commitment (EDP, EDP credits, or MAP credits) that this platform should draw from?","AWS MAP or EDP credits can offset Bedrock and AgentCore costs; confirm existing agreements in the us-west-2 account","","May materially reduce first-year run cost estimate"
BUS-009,Business Requirements,Timeline,"Are the Phase 1 / Phase 2 / Phase 3 milestone dates fixed, or is there flexibility if scope changes?","Phase 1 (weeks 1-4), Phase 2 (weeks 5-9), Phase 3 (weeks 10-12); hard demo deadline end of April 2026","","Fixed timeline directly impacts staffing plan and which features can be deferred"
BUS-010,Business Requirements,ROI & Metrics,"What baseline metrics exist today to measure the 90% effort-reduction target?","Current state: 6-10 senior-consultant hours per presales package; confirm whether this is tracked formally","","Without a baseline measurement, the ROI claim cannot be validated post-go-live"
