Question ID,Category,Sub-Category,Question,Guidance,Customer Response,Notes
BUS-001,Business Requirements,Business Drivers,"What are the primary business challenges driving the AI recommendation initiative?","Describe the top pain points — e.g., poor content discovery, high churn, low engagement with new uploads","","Understanding root-cause drivers ensures the technical solution targets real business outcomes"
BUS-002,Business Requirements,Business Drivers,"How are users currently discovering new songs or podcasts within the ANP Streaming app?","Manual search, editor-curated playlists, word-of-mouth, social sharing, etc.","","Establishes the baseline experience the AI solution must improve upon"
BUS-003,Business Requirements,Success Criteria,"What measurable outcomes define success for this project?","Examples: 20% increase in playlist engagement, 50% reduction in manual tagging time, improved user retention rate","","Critical for scoping the solution and evaluating post-launch performance"
BUS-004,Business Requirements,Success Criteria,"How will you measure the quality of mood classification applied to new uploads?","Accuracy threshold, manual spot-check cadence, user feedback loop, A/B testing","","Drives model evaluation strategy and any human-review workflow requirements"
BUS-005,Business Requirements,Timeline,"Is the 4–6 week engagement timeline fixed or flexible?","Identify any hard deadlines — e.g., product launch date, marketing campaign, investor demo","","Tight timelines may require scope reduction or additional resources"
BUS-006,Business Requirements,Timeline,"What are the three review milestones and expected feedback turnaround?","Confirm the three-phase approach: discovery/architecture, build, integration/handoff","","Validates phased delivery plan and aligns expectations on review cycles"
BUS-007,Business Requirements,Budget,"Is the ~$15,000 professional-services budget fixed or is there flexibility for scope changes?","Clarify approval process for change orders and budget authority","","Scope management and change-order planning"
BUS-008,Business Requirements,Budget,"Are there any active AWS funding programs (MAP credits, APN credits, Activate credits) that should be applied to this engagement?","Check AWS Migration Acceleration Program or Startup credits available to ANP","","Could offset AWS build and ongoing infrastructure costs significantly"
BUS-009,Business Requirements,Stakeholders,"Who are the key stakeholders who must approve architecture decisions and deliverables?","Confirm Lilly Goyah as executive sponsor; identify any technical approvers or board members","","Prevents last-minute escalations and approval delays"
BUS-010,Business Requirements,Stakeholders,"What is the involvement level of ANP's technical point of contact during the engagement?","Hours per week available, responsibilities (data access, API testing, catalog export)","","Determines how much ANP-side effort is needed and where blockers may arise"
BUS-011,Business Requirements,Business Drivers,"Are there faith-based content guidelines or editorial policies that the AI must respect when classifying or recommending content?","E.g., mood labels must align with Christian values; certain content categories must never be recommended together","","May require custom label taxonomy or post-processing filters on AI outputs"
TECH-001,Technical Requirements,Current Infrastructure,"What is the current structure and size of the Firebase catalog?","Approximate number of songs and podcasts; fields available: titles, artists, tags, lyric/transcript text, upload date","","Primary input data for both the classifier and recommendation engine"
